ProductID,ProductName,Category,SubCategory,Brand,BrandTier,Size,Price,Cost,Margin
P00024,Tommy Hilfiger Blazers,Formal Wear,Blazers,Tommy Hilfiger,Mid-Range,M,2109.19,1324.59,37.2
P00025,Tommy Hilfiger Blazers,Formal Wear,Blazers,Tommy Hilfiger,Mid-Range,XXL,3096.18,1788.75,42.23
P00026,Armani Blazers,Formal Wear,Blazers,Armani,Premium,XL,4872.26,3246.24,33.37
P00027,Hugo Boss Dress Shirts,Formal Wear,Dress Shirts,Hugo Boss,Premium,S,4745.9,3247.26,31.58
P00028,Adidas Trousers,Formal Wear,Trousers,Adidas,Mid-Range,M,3311.18,2279.02,31.17
P00029,Zara Waistcoats,Formal Wear,Waistcoats,Zara,Budget,XXL,1171.67,678.86,42.06
P00030,H&M Blazers,Formal Wear,Blazers,H&M,Budget,S,989.95,592.78,40.12
P00031,Nike Suits,Formal Wear,Suits,Nike,Mid-Range,L,2432.44,1436.85,40.93
P00032,Armani Blazers,Formal Wear,Blazers,Armani,Premium,S,4280.7,2583.46,39.65
P00033,Uniqlo Waistcoats,Formal Wear,Waistcoats,Uniqlo,Budget,S,1979.92,1250.13,36.86
P00034,GAP Trousers,Formal Wear,Trousers,GAP,Budget,XXL,1391.88,933.02,32.97
P00035,Zara Trousers,Formal Wear,Trousers,Zara,Budget,M,1113.11,776.99,30.2
P00036,Hugo Boss Dress Shirts,Formal Wear,Dress Shirts,Hugo Boss,Premium,XXL,4043.43,2344.41,42.02
P00037,Uniqlo Waistcoats,Formal Wear,Waistcoats,Uniqlo,Budget,XXL,823.19,553.45,32.77
P00038,Calvin Klein Waistcoats,Formal Wear,Waistcoats,Calvin Klein,Premium,XL,3768.8,2484.96,34.06
P00039,Ralph Lauren Trousers,Formal Wear,Trousers,Ralph Lauren,Premium,S,4039.34,2266.5,43.89
P00040,Puma Dress Shirts,Formal Wear,Dress Shirts,Puma,Mid-Range,L,2305.56,1308.13,43.26
P00041,Armani Suits,Formal Wear,Suits,Armani,Premium,XXXL,4425.03,2847.49,35.65
P00042,Tommy Hilfiger Suits,Formal Wear,Suits,Tommy Hilfiger,Mid-Range,XXL,2189.77,1225.25,44.05
P00043,Adidas Dress Shirts,Formal Wear,Dress Shirts,Adidas,Mid-Range,XL,2106.13,1261.1,40.12
P00044,Calvin Klein Suits,Formal Wear,Suits,Calvin Klein,Premium,L,3864.35,2494.95,35.44
P00045,Calvin Klein Waistcoats,Formal Wear,Waistcoats,Calvin Klein,Premium,XL,4526.29,2810.07,37.92
P00046,H&M Blazers,Formal Wear,Blazers,H&M,Budget,XXL,1302.3,855.59,34.3
P00047,Ralph Lauren Suits,Formal Wear,Suits,Ralph Lauren,Premium,XXXL,3995.3,2533.78,36.58
P00048,Armani Blazers,Formal Wear,Blazers,Armani,Premium,M,4038.06,2520.03,37.59
P00049,Tommy Hilfiger Trousers,Formal Wear,Trousers,Tommy Hilfiger,Mid-Range,L,2995.48,1839.62,38.59
P00050,Uniqlo Suits,Formal Wear,Suits,Uniqlo,Budget,XL,906.76,513.39,43.38
P00051,H&M Dress Shirts,Formal Wear,Dress Shirts,H&M,Budget,XXXL,932.0,601.57,35.45
P00052,Puma Blazers,Formal Wear,Blazers,Puma,Mid-Range,XL,2120.3,1327.91,37.37
P00053,Hugo Boss Dress Shirts,Formal Wear,Dress Shirts,Hugo Boss,Premium,M,4611.78,2708.93,41.26
P00054,Puma Dress Shirts,Formal Wear,Dress Shirts,Puma,Mid-Range,XXXL,2523.61,1673.99,33.67
P00055,H&M Waistcoats,Formal Wear,Waistcoats,H&M,Budget,XL,1760.95,988.86,43.85
P00056,Adidas Blazers,Formal Wear,Blazers,Adidas,Mid-Range,XS,2016.96,1158.1,42.58
P00057,Ralph Lauren Suits,Formal Wear,Suits,Ralph Lauren,Premium,XXXL,4704.73,3157.9,32.88
P00058,Tommy Hilfiger Blazers,Formal Wear,Blazers,Tommy Hilfiger,Mid-Range,XS,3460.3,2355.49,31.93
P00059,Armani Dress Shirts,Formal Wear,Dress Shirts,Armani,Premium,XS,4175.42,2413.33,42.2
P00060,Armani Trousers,Formal Wear,Trousers,Armani,Premium,XXXL,4548.75,2869.81,36.91
P00061,Hugo Boss Waistcoats,Formal Wear,Waistcoats,Hugo Boss,Premium,S,4191.25,2868.55,31.56
P00062,Puma Trousers,Formal Wear,Trousers,Puma,Mid-Range,S,2135.61,1209.84,43.35
P00063,GAP Blazers,Formal Wear,Blazers,GAP,Budget,S,1757.33,1079.12,38.59
P00064,Hugo Boss Waistcoats,Formal Wear,Waistcoats,Hugo Boss,Premium,XXL,4235.66,2876.48,32.09
P00065,GAP Blazers,Formal Wear,Blazers,GAP,Budget,XXL,829.2,519.59,37.34
P00066,Adidas Blazers,Formal Wear,Blazers,Adidas,Mid-Range,XL,2553.13,1489.28,41.67
P00067,H&M Trousers,Formal Wear,Trousers,H&M,Budget,S,1303.43,782.9,39.94
P00068,Armani Dress Shirts,Formal Wear,Dress Shirts,Armani,Premium,M,4760.22,2848.9,40.15
P00069,Puma Suits,Formal Wear,Suits,Puma,Mid-Range,XL,2978.92,1952.54,34.45
P00070,Puma Dress Shirts,Formal Wear,Dress Shirts,Puma,Mid-Range,S,2327.24,1619.22,30.42
P00071,Armani Suits,Formal Wear,Suits,Armani,Premium,XXL,4842.28,2846.13,41.22
P00072,Tommy Hilfiger Suits,Formal Wear,Suits,Tommy Hilfiger,Mid-Range,XS,2888.44,1719.0,40.49
P00073,Uniqlo Suits,Formal Wear,Suits,Uniqlo,Budget,XS,1996.33,1109.03,44.45
P00074,Tommy Hilfiger Waistcoats,Formal Wear,Waistcoats,Tommy Hilfiger,Mid-Range,M,3360.17,2101.46,37.46
P00075,Zara Trousers,Formal Wear,Trousers,Zara,Budget,XL,1016.21,601.39,40.82
P00076,Calvin Klein Dress Shirts,Formal Wear,Dress Shirts,Calvin Klein,Premium,S,4614.72,2703.92,41.41
P00077,GAP Trousers,Formal Wear,Trousers,GAP,Budget,S,1408.56,878.12,37.66
P00078,Armani Suits,Formal Wear,Suits,Armani,Premium,XXL,4939.73,2896.21,41.37
P00079,Ralph Lauren Trousers,Formal Wear,Trousers,Ralph Lauren,Premium,L,3622.97,2406.53,33.58
P00080,GAP Trousers,Formal Wear,Trousers,GAP,Budget,XXXL,1798.08,1185.35,34.08
P00081,Levi's Suits,Formal Wear,Suits,Levi's,Mid-Range,XS,2344.69,1511.96,35.52
P00082,Nike Trousers,Formal Wear,Trousers,Nike,Mid-Range,XXXL,3460.82,2181.59,36.96
P00083,Zara Suits,Formal Wear,Suits,Zara,Budget,S,1179.22,796.32,32.47
P00084,Puma Dress Shirts,Formal Wear,Dress Shirts,Puma,Mid-Range,L,2147.28,1241.08,42.2
P00085,GAP Dress Shirts,Formal Wear,Dress Shirts,GAP,Budget,S,971.26,620.28,36.14
P00086,Calvin Klein Blazers,Formal Wear,Blazers,Calvin Klein,Premium,S,3645.77,2014.24,44.75
P00087,Adidas Suits,Formal Wear,Suits,Adidas,Mid-Range,XXXL,2950.79,1723.19,41.6
P00088,Armani Waistcoats,Formal Wear,Waistcoats,Armani,Premium,XS,3509.73,2022.15,42.38
P00089,Armani Waistcoats,Formal Wear,Waistcoats,Armani,Premium,XS,3701.94,2250.82,39.2
P00090,Hugo Boss Dress Shirts,Formal Wear,Dress Shirts,Hugo Boss,Premium,L,4734.27,2701.51,42.94
P00091,Adidas Trousers,Formal Wear,Trousers,Adidas,Mid-Range,S,2232.48,1265.86,43.3
P00092,Armani Trousers,Formal Wear,Trousers,Armani,Premium,S,4683.71,3192.42,31.84
P00093,H&M Trousers,Formal Wear,Trousers,H&M,Budget,L,1883.35,1222.29,35.1
P00094,Calvin Klein Blazers,Formal Wear,Blazers,Calvin Klein,Premium,M,4232.33,2680.25,36.67
P00095,Puma Trousers,Formal Wear,Trousers,Puma,Mid-Range,XXL,3024.53,1773.22,41.37
P00096,Zara Trousers,Formal Wear,Trousers,Zara,Budget,S,1191.03,815.36,31.54
P00097,Hugo Boss Blazers,Formal Wear,Blazers,Hugo Boss,Premium,XS,4581.76,2955.07,35.5
P00098,Puma Waistcoats,Formal Wear,Waistcoats,Puma,Mid-Range,XS,2223.93,1339.65,39.76
P00099,Armani Blazers,Formal Wear,Blazers,Armani,Premium,XS,3849.01,2634.91,31.54
P00100,Calvin Klein Waistcoats,Formal Wear,Waistcoats,Calvin Klein,Premium,XL,4525.76,3018.6,33.3
P00101,Tommy Hilfiger Waistcoats,Formal Wear,Waistcoats,Tommy Hilfiger,Mid-Range,XS,3496.53,1967.22,43.74
P00102,H&M Waistcoats,Formal Wear,Waistcoats,H&M,Budget,XXXL,1478.84,1012.69,31.52
P00103,Levi's Dress Shirts,Formal Wear,Dress Shirts,Levi's,Mid-Range,XL,3347.0,1845.47,44.86
P00104,Zara Suits,Formal Wear,Suits,Zara,Budget,L,1226.18,796.44,35.05
P00105,Zara Suits,Formal Wear,Suits,Zara,Budget,XL,821.26,471.5,42.59
P00106,Levi's Waistcoats,Formal Wear,Waistcoats,Levi's,Mid-Range,XL,3104.68,2029.79,34.62
P00107,Calvin Klein Suits,Formal Wear,Suits,Calvin Klein,Premium,XXL,3538.24,2065.06,41.64
P00108,Ralph Lauren Waistcoats,Formal Wear,Waistcoats,Ralph Lauren,Premium,M,3791.15,2220.05,41.44
P00109,Nike Dress Shirts,Formal Wear,Dress Shirts,Nike,Mid-Range,S,2166.68,1434.28,33.8
P00110,Calvin Klein Blazers,Formal Wear,Blazers,Calvin Klein,Premium,S,3528.46,2390.12,32.26
P00111,Calvin Klein Blazers,Formal Wear,Blazers,Calvin Klein,Premium,M,3561.97,2262.73,36.48
P00112,H&M Suits,Formal Wear,Suits,H&M,Budget,L,1193.43,722.22,39.48
P00113,H&M Waistcoats,Formal Wear,Waistcoats,H&M,Budget,XS,1913.85,1122.66,41.34
P00114,Hugo Boss Waistcoats,Formal Wear,Waistcoats,Hugo Boss,Premium,XL,4886.64,2975.79,39.1
P00115,Hugo Boss Blazers,Formal Wear,Blazers,Hugo Boss,Premium,M,4546.6,2931.06,35.53
P00116,Hugo Boss Suits,Formal Wear,Suits,Hugo Boss,Premium,M,4138.21,2588.02,37.46
P00117,Tommy Hilfiger Blazers,Formal Wear,Blazers,Tommy Hilfiger,Mid-Range,L,3223.0,2010.76,37.61
P00118,Uniqlo Waistcoats,Formal Wear,Waistcoats,Uniqlo,Budget,XL,1620.02,1066.57,34.16
P00119,H&M Waistcoats,Formal Wear,Waistcoats,H&M,Budget,XXL,1979.24,1095.8,44.64
P00120,Ralph Lauren Waistcoats,Formal Wear,Waistcoats,Ralph Lauren,Premium,XXL,3510.98,2024.32,42.34
P00121,Hugo Boss Suits,Formal Wear,Suits,Hugo Boss,Premium,M,4749.93,3292.12,30.69
P00122,Armani Suits,Formal Wear,Suits,Armani,Premium,XXL,4642.43,2811.1,39.45
P00123,Zara Waistcoats,Formal Wear,Waistcoats,Zara,Budget,M,864.92,596.14,31.08
P00124,Puma Blazers,Formal Wear,Blazers,Puma,Mid-Range,S,2598.37,1805.86,30.5
P00125,Hugo Boss Blazers,Formal Wear,Blazers,Hugo Boss,Premium,XXL,4847.2,3286.17,32.2
P00126,Puma Casual Shirts,Casual Wear,Casual Shirts,Puma,Mid-Range,L,1018.34,618.91,39.22
P00127,Armani Casual Shirts,Casual Wear,Casual Shirts,Armani,Premium,XS,2187.39,1307.05,40.25
P00128,Uniqlo Chinos,Casual Wear,Chinos,Uniqlo,Budget,XS,755.93,478.9,36.65
P00129,Ralph Lauren T-Shirts,Casual Wear,T-Shirts,Ralph Lauren,Premium,XXXL,2365.93,1548.27,34.56
P00130,Nike Jeans,Casual Wear,Jeans,Nike,Mid-Range,S,1597.13,901.7,43.54
P00131,Puma Chinos,Casual Wear,Chinos,Puma,Mid-Range,XXL,1691.52,1181.54,30.15
P00132,H&M Chinos,Casual Wear,Chinos,H&M,Budget,XS,694.18,435.77,37.23
P00133,Hugo Boss T-Shirts,Casual Wear,T-Shirts,Hugo Boss,Premium,XL,2242.48,1482.54,33.89
P00134,Ralph Lauren T-Shirts,Casual Wear,T-Shirts,Ralph Lauren,Premium,XL,1863.73,1221.44,34.46
P00135,Tommy Hilfiger Shorts,Casual Wear,Shorts,Tommy Hilfiger,Mid-Range,L,1154.93,686.07,40.6
P00136,Armani Jeans,Casual Wear,Jeans,Armani,Premium,M,2099.66,1409.96,32.85
P00137,Armani Casual Shirts,Casual Wear,Casual Shirts,Armani,Premium,M,2220.85,1525.69,31.3
P00138,Tommy Hilfiger Jeans,Casual Wear,Jeans,Tommy Hilfiger,Mid-Range,XXL,1473.82,921.47,37.48
P00139,Ralph Lauren T-Shirts,Casual Wear,T-Shirts,Ralph Lauren,Premium,XXXL,2076.42,1344.47,35.25
P00140,Calvin Klein Shorts,Casual Wear,Shorts,Calvin Klein,Premium,XL,1874.13,1254.48,33.06
P00141,Hugo Boss Jeans,Casual Wear,Jeans,Hugo Boss,Premium,XXXL,2269.01,1362.99,39.93
P00142,Tommy Hilfiger Jeans,Casual Wear,Jeans,Tommy Hilfiger,Mid-Range,L,1188.72,670.56,43.59
P00143,Tommy Hilfiger T-Shirts,Casual Wear,T-Shirts,Tommy Hilfiger,Mid-Range,XXL,1614.39,896.62,44.46
P00144,Adidas Casual Shirts,Casual Wear,Casual Shirts,Adidas,Mid-Range,XXXL,1377.76,869.91,36.86
P00145,Nike Jeans,Casual Wear,Jeans,Nike,Mid-Range,S,1001.74,639.73,36.14
P00146,GAP T-Shirts,Casual Wear,T-Shirts,GAP,Budget,XXXL,464.05,257.83,44.44
P00147,Calvin Klein T-Shirts,Casual Wear,T-Shirts,Calvin Klein,Premium,S,2127.46,1285.05,39.6
P00148,GAP Jeans,Casual Wear,Jeans,GAP,Budget,M,666.83,418.99,37.17
P00149,Hugo Boss Casual Shirts,Casual Wear,Casual Shirts,Hugo Boss,Premium,S,2016.99,1174.64,41.76
P00150,Tommy Hilfiger T-Shirts,Casual Wear,T-Shirts,Tommy Hilfiger,Mid-Range,L,1708.07,961.31,43.72
P00151,Uniqlo Casual Shirts,Casual Wear,Casual Shirts,Uniqlo,Budget,XXXL,508.53,320.22,37.03
P00152,Nike T-Shirts,Casual Wear,T-Shirts,Nike,Mid-Range,M,1535.33,991.23,35.44
P00153,Calvin Klein Shorts,Casual Wear,Shorts,Calvin Klein,Premium,XXL,1924.79,1340.38,30.36
P00154,Nike Shorts,Casual Wear,Shorts,Nike,Mid-Range,XS,1484.23,888.23,40.16
P00155,Ralph Lauren T-Shirts,Casual Wear,T-Shirts,Ralph Lauren,Premium,S,2069.89,1222.53,40.94
P00156,Nike Shorts,Casual Wear,Shorts,Nike,Mid-Range,XS,1321.84,742.57,43.82
P00157,GAP T-Shirts,Casual Wear,T-Shirts,GAP,Budget,M,453.24,314.73,30.56
P00158,Calvin Klein Casual Shirts,Casual Wear,Casual Shirts,Calvin Klein,Premium,XL,2155.56,1410.59,34.56
P00159,Levi's Shorts,Casual Wear,Shorts,Levi's,Mid-Range,L,1258.8,725.06,42.4
P00160,Zara Shorts,Casual Wear,Shorts,Zara,Budget,M,728.52,428.03,41.25
P00161,Adidas T-Shirts,Casual Wear,T-Shirts,Adidas,Mid-Range,XS,1553.38,1020.86,34.28
P00162,Hugo Boss Shorts,Casual Wear,Shorts,Hugo Boss,Premium,M,1786.41,1057.54,40.8
P00163,Armani Chinos,Casual Wear,Chinos,Armani,Premium,XXL,2405.22,1589.09,33.93
P00164,Puma Casual Shirts,Casual Wear,Casual Shirts,Puma,Mid-Range,M,1564.14,1003.8,35.82
P00165,Nike T-Shirts,Casual Wear,T-Shirts,Nike,Mid-Range,XL,1281.16,752.25,41.28
P00166,Adidas Casual Shirts,Casual Wear,Casual Shirts,Adidas,Mid-Range,M,1147.54,761.6,33.63
P00167,Uniqlo Chinos,Casual Wear,Chinos,Uniqlo,Budget,XL,430.23,244.12,43.26
P00168,Zara Jeans,Casual Wear,Jeans,Zara,Budget,L,496.61,276.17,44.39
P00169,Hugo Boss Chinos,Casual Wear,Chinos,Hugo Boss,Premium,XL,2196.47,1439.89,34.45
P00170,Nike Shorts,Casual Wear,Shorts,Nike,Mid-Range,L,1395.77,788.15,43.53
P00171,Levi's Shorts,Casual Wear,Shorts,Levi's,Mid-Range,M,1432.39,889.55,37.9
P00172,Zara Casual Shirts,Casual Wear,Casual Shirts,Zara,Budget,L,763.72,469.75,38.49
P00173,Puma Shorts,Casual Wear,Shorts,Puma,Mid-Range,XXL,1236.86,794.53,35.76
P00174,Adidas Casual Shirts,Casual Wear,Casual Shirts,Adidas,Mid-Range,L,1733.7,965.31,44.32
P00175,Tommy Hilfiger Chinos,Casual Wear,Chinos,Tommy Hilfiger,Mid-Range,XL,1186.69,764.08,35.61
P00176,Tommy Hilfiger Chinos,Casual Wear,Chinos,Tommy Hilfiger,Mid-Range,XXL,1456.59,988.26,32.15
P00177,Ralph Lauren T-Shirts,Casual Wear,T-Shirts,Ralph Lauren,Premium,XL,1783.26,1024.37,42.56
P00178,Uniqlo Shorts,Casual Wear,Shorts,Uniqlo,Budget,XS,548.19,354.33,35.36
P00179,Uniqlo Jeans,Casual Wear,Jeans,Uniqlo,Budget,S,455.67,290.66,36.21
P00180,Hugo Boss Jeans,Casual Wear,Jeans,Hugo Boss,Premium,XS,2374.48,1510.93,36.37
P00181,Tommy Hilfiger T-Shirts,Casual Wear,T-Shirts,Tommy Hilfiger,Mid-Range,L,1215.16,785.59,35.35
P00182,Levi's Shorts,Casual Wear,Shorts,Levi's,Mid-Range,L,1362.33,860.78,36.82
P00183,Hugo Boss Chinos,Casual Wear,Chinos,Hugo Boss,Premium,XXL,2377.08,1445.06,39.21
P00184,Calvin Klein Chinos,Casual Wear,Chinos,Calvin Klein,Premium,L,2418.5,1658.61,31.42
P00185,Zara Jeans,Casual Wear,Jeans,Zara,Budget,XXL,811.16,454.58,43.96
P00186,H&M T-Shirts,Casual Wear,T-Shirts,H&M,Budget,XXXL,611.63,338.07,44.73
P00187,Zara Chinos,Casual Wear,Chinos,Zara,Budget,S,598.33,390.38,34.75
P00188,GAP Shorts,Casual Wear,Shorts,GAP,Budget,XS,549.5,328.51,40.22
P00189,Hugo Boss Shorts,Casual Wear,Shorts,Hugo Boss,Premium,XXXL,2174.24,1203.42,44.65
P00190,Calvin Klein T-Shirts,Casual Wear,T-Shirts,Calvin Klein,Premium,S,2110.38,1249.93,40.77
P00191,Uniqlo Chinos,Casual Wear,Chinos,Uniqlo,Budget,XXXL,648.15,424.22,34.55
P00192,Puma Chinos,Casual Wear,Chinos,Puma,Mid-Range,XXXL,1720.78,1172.92,31.84
P00193,Calvin Klein Shorts,Casual Wear,Shorts,Calvin Klein,Premium,XXXL,1943.65,1303.26,32.95
P00194,GAP Shorts,Casual Wear,Shorts,GAP,Budget,S,992.27,572.16,42.34
P00195,Calvin Klein Chinos,Casual Wear,Chinos,Calvin Klein,Premium,M,1976.29,1326.14,32.9
P00196,Ralph Lauren Jeans,Casual Wear,Jeans,Ralph Lauren,Premium,XXXL,2480.06,1517.53,38.81
P00197,Adidas Shorts,Casual Wear,Shorts,Adidas,Mid-Range,XXL,1181.24,787.25,33.35
P00198,Nike Jeans,Casual Wear,Jeans,Nike,Mid-Range,L,1115.69,769.39,31.04
P00199,Ralph Lauren T-Shirts,Casual Wear,T-Shirts,Ralph Lauren,Premium,S,2202.67,1353.21,38.57
P00200,Ralph Lauren Casual Shirts,Casual Wear,Casual Shirts,Ralph Lauren,Premium,M,1976.83,1311.0,33.68
P00201,H&M Shorts,Casual Wear,Shorts,H&M,Budget,S,616.56,422.58,31.46
P00202,Tommy Hilfiger Jeans,Casual Wear,Jeans,Tommy Hilfiger,Mid-Range,L,1461.03,984.69,32.6
P00203,Tommy Hilfiger Jeans,Casual Wear,Jeans,Tommy Hilfiger,Mid-Range,XS,1072.1,733.67,31.57
P00204,Adidas Chinos,Casual Wear,Chinos,Adidas,Mid-Range,M,1217.32,671.51,44.84
P00205,Calvin Klein Shorts,Casual Wear,Shorts,Calvin Klein,Premium,L,2301.3,1297.23,43.63
P00206,Tommy Hilfiger T-Shirts,Casual Wear,T-Shirts,Tommy Hilfiger,Mid-Range,XXXL,1070.56,741.37,30.75
P00207,Calvin Klein Chinos,Casual Wear,Chinos,Calvin Klein,Premium,XXXL,2396.28,1524.07,36.4
P00208,Levi's Shorts,Casual Wear,Shorts,Levi's,Mid-Range,XXXL,1726.86,1065.93,38.27
P00209,Adidas Shorts,Casual Wear,Shorts,Adidas,Mid-Range,L,1015.74,608.73,40.07
P00210,Ralph Lauren T-Shirts,Casual Wear,T-Shirts,Ralph Lauren,Premium,M,1812.29,1201.29,33.71
P00211,Calvin Klein Chinos,Casual Wear,Chinos,Calvin Klein,Premium,XL,2062.32,1378.54,33.16
P00212,Zara Shorts,Casual Wear,Shorts,Zara,Budget,L,591.53,369.21,37.58
P00213,Uniqlo Jeans,Casual Wear,Jeans,Uniqlo,Budget,L,520.87,329.42,36.76
P00214,Levi's Chinos,Casual Wear,Chinos,Levi's,Mid-Range,L,1327.21,906.69,31.68
P00215,Adidas Casual Shirts,Casual Wear,Casual Shirts,Adidas,Mid-Range,XXL,1136.92,645.27,43.24
P00216,GAP Jeans,Casual Wear,Jeans,GAP,Budget,S,700.28,465.15,33.58
P00217,Puma Shorts,Casual Wear,Shorts,Puma,Mid-Range,XS,1698.26,959.8,43.48
P00218,H&M Chinos,Casual Wear,Chinos,H&M,Budget,XS,576.62,377.77,34.49
P00219,Zara Chinos,Casual Wear,Chinos,Zara,Budget,XXXL,552.8,372.19,32.67
P00220,Hugo Boss Chinos,Casual Wear,Chinos,Hugo Boss,Premium,XS,1883.11,1058.69,43.78
P00221,GAP Casual Shirts,Casual Wear,Casual Shirts,GAP,Budget,M,578.16,403.55,30.2
P00222,Adidas Jeans,Casual Wear,Jeans,Adidas,Mid-Range,M,1185.97,718.22,39.44
P00223,Calvin Klein Casual Shirts,Casual Wear,Casual Shirts,Calvin Klein,Premium,M,2106.88,1458.14,30.79
P00224,Ralph Lauren Chinos,Casual Wear,Chinos,Ralph Lauren,Premium,XXXL,2470.6,1638.03,33.7
P00225,Adidas T-Shirts,Casual Wear,T-Shirts,Adidas,Mid-Range,XS,1190.15,669.49,43.75
P00226,Armani Shorts,Casual Wear,Shorts,Armani,Premium,M,2032.01,1287.81,36.62
P00227,Levi's Jeans,Casual Wear,Jeans,Levi's,Mid-Range,XXXL,1290.87,885.47,31.4
P00228,H&M T-Shirts,Casual Wear,T-Shirts,H&M,Budget,S,633.51,395.25,37.61
P00229,H&M Jeans,Casual Wear,Jeans,H&M,Budget,XL,423.84,262.91,37.97
P00230,Zara Jeans,Casual Wear,Jeans,Zara,Budget,S,518.24,294.27,43.22
P00231,H&M Chinos,Casual Wear,Chinos,H&M,Budget,XL,646.81,418.73,35.26
P00232,Calvin Klein Jeans,Casual Wear,Jeans,Calvin Klein,Premium,XXL,1966.69,1253.78,36.25
P00233,Ralph Lauren Casual Shirts,Casual Wear,Casual Shirts,Ralph Lauren,Premium,S,2420.56,1467.42,39.38
P00234,H&M Shorts,Casual Wear,Shorts,H&M,Budget,XXXL,1000.0,680.29,31.97
P00235,Uniqlo Jeans,Casual Wear,Jeans,Uniqlo,Budget,XS,869.55,603.89,30.55
P00236,H&M Shorts,Casual Wear,Shorts,H&M,Budget,M,425.52,295.94,30.45
P00237,GAP Shorts,Casual Wear,Shorts,GAP,Budget,L,490.64,335.43,31.63
P00238,Levi's Jeans,Casual Wear,Jeans,Levi's,Mid-Range,XL,1508.17,1054.13,30.11
P00239,H&M Jeans,Casual Wear,Jeans,H&M,Budget,XXL,554.97,351.34,36.69
P00240,Armani Casual Shirts,Casual Wear,Casual Shirts,Armani,Premium,XXXL,2435.54,1530.65,37.15
P00241,Levi's Shorts,Casual Wear,Shorts,Levi's,Mid-Range,M,1721.74,1126.64,34.56
P00242,Adidas Shorts,Casual Wear,Shorts,Adidas,Mid-Range,XXL,1354.54,872.5,35.59
P00243,Levi's Casual Shirts,Casual Wear,Casual Shirts,Levi's,Mid-Range,XL,1627.06,1114.82,31.48
P00244,H&M Casual Shirts,Casual Wear,Casual Shirts,H&M,Budget,XXXL,495.44,293.37,40.79
P00245,Calvin Klein Chinos,Casual Wear,Chinos,Calvin Klein,Premium,XS,2395.86,1637.67,31.65
P00246,Nike Chinos,Casual Wear,Chinos,Nike,Mid-Range,XXL,1356.88,872.5,35.7
P00247,Zara Chinos,Casual Wear,Chinos,Zara,Budget,L,982.5,568.1,42.18
P00248,Puma Jeans,Casual Wear,Jeans,Puma,Mid-Range,XXL,1373.77,828.39,39.7
P00249,Puma Casual Shirts,Casual Wear,Casual Shirts,Puma,Mid-Range,XXXL,1625.68,913.08,43.83
P00250,Calvin Klein Shorts,Casual Wear,Shorts,Calvin Klein,Premium,L,2446.23,1707.3,30.21
P00251,Ralph Lauren Chinos,Casual Wear,Chinos,Ralph Lauren,Premium,M,1866.14,1176.44,36.96
P00252,Levi's Jeans,Casual Wear,Jeans,Levi's,Mid-Range,M,1050.01,705.68,32.79
